,Quotes,Characters
4560,Seems to be My necks just a little tender  Ow Listen Leela Thanks for rescuing me last night,Fry
4561,Anytime I actually enjoyed hanging out with you,Leela
4563,Come on Its not like you intentionally set us up with bad dates so wed spend Valentines Day together,Leela
4565,No You didnt You just corralled a bunch of stiffs at the bus station and pocketed our money,Leela
4568,I guess so  Watch the neck Watch the neck,Fry
4579,Hermes has all the fun Wait a second Hes got a Brain Slug on his head,Fry
4580,Shh Youre gonna get us all assimilated,Leela
4589,Nah Im not in the mood for a historical documentary Ive heard good things about Quizblorg Quizblorg,Leela
4601,Ooh this is real futuristic,Fry
4628,Bender do you know who that was,Leela
4644,No Youve got to do it I dont care how suicidal it is,Leela
4645,Hey How come when I wanna do fun stuff thatll kill me youre against it,Fry
4646,This is more important than that marbleeating contest Fry Its about pride Let me tell you a story from my childhood,Leela
4648,When I was growing up at the orphanarium I got picked on a lot,Leela
4649,My only outlet was Arcturan Kung Fu,Leela
4651,But Master Fnog I can beat these dorks with one eye closed,Leela
4653,What do you mean Watch this,Leela
4656,Thats it Ill take you on right now,Leela
4658,I lost my chance to be a champion I wont let you throw away yours,Leela
4660,Lets see what you got Touch your toes,Leela
4666,Wow Thanks Hermes  I Hey Cut that out,Fry
4668,Get up Bender You cant quit every time you get an axe in the back  Or a drill through your face Now quit scratching your axehole and get out there,Leela
4689,Bender Youre three hours late You cant give up on your training now after both of us worked so hard,Leela
4710,Man I thought Ultimate Robot Fighting was real like pro wrestling But it turns out its fixed like boxing,Fry
4712,No way If you wouldnt take my help when you didnt need it why should I give it to you now when you do need it,Leela
4714,I dont know But Im not helping,Leela
4720,Not Fnog Bender lets hit the gym Im gonna teach you to fight like a girl,Leela
4726,According to the script youre supposed to prance out and tickle him with your fairy wand Instead I want you to prance out and kick his head off,Leela
4738,Keep laughing Fnog  Ready Bender,Leela
4744,OK Fnog thats enough Call him off Fnog  Hmm,Leela
4746,So once more we meet again,Leela
4748,You didnt train Destructor Youre just controlling him like a puppet I mean cheating in a fake fight Thats low,Leela
4750,Oh right Girls lack the will of the warrior,Leela
4761,Bender How did the fight go I heard somebody got flattened,Fry
4764,Im proud of you Bender Sure you lost You lost bad But the important thing is I beat up someone who hurt my feelings in high school,Leela
4774,They smell like burning Rhesus Monkey,Leela
4781,Its got every piece of information anyone could ever want,Leela
4792,Yeah Ill stick with this one thank you,Leela
4800,Im a woman if thats what you mean  I dont like to play games so Ill just say Im a cyclops Im a spaceship captain Im the only one of my species and Im interested in meeting a man,Leela
4802,Well thanks to the Internet Im bored with sex Is there a place on the web that panders to my lust for violence,Fry
4805,We call it a video game,Leela
4806,Uh video game you say Well golly gee you mighty spacemen of the future will have to show me how it works,Fry
4811,I cant believe it Ive dreamed of this moment all my life,Leela
4813,Fry you idiot Ever since I was abandoned on Earth Ive been searching for who my people are and where they come from Then I finally meet another Cyclops and you blast him You wrecked my one chance to learn who I am,Leela
4814,Oh Leela I feel terrible If theres anything I can ever do  I won Im the greatest,Fry
4815,Come on We have work to do,Leela
4816,Are you still mad at me for wrecking your onceinalifetime chance to learn the meaning of your existence,Fry
4817,No Im just happy you were able to win a video game Now lets concentrate on getting this desperatelyneeded popcorn to the people of Cineplex 14 OK,Leela
4823,Well too bad we gotta make that urgent popcorn delivery,Fry
4825,After a whole life of searching I may finally have found where I belong,Leela
4827,Look at that statue Its only got one eye,Leela
4830,Alcazar  Are you real Or am I seeing single,Leela
4832,After all this time somebody else with one eye who isnt a clumsy carpenter or uh a kid with a BB gun,Leela
4836,Theres so much information and yet somehow I feel as if I know it all already,Leela
4838,Hmm you got any sacred artwork of her from the back,Fry
4844,Is that anything like a cemetery cause I gotta take a leak  Ow,Fry
4845,Fry thats offensive to our people  Isnt it,Leela
4848,Oh no not at all If anything Im more impressed,Leela
4851,Its all so sad What happened to our people,Leela
4854,I heard you from my room Whats wrong,Leela
4856,Please is it about the fate of our people Because Im very interested in that,Leela
4863,Alcazar I used to be a baby it might have been me,Leela
4869,Youre a male and Im a female,Leela
4873,Uh sure OK What do you take with that,Leela
4875,Maybe after breakfast we can talk about rebuilding our civilisation,Leela
4876,Mmm Great pancakes Leela,Fry
4882,Look Al I know youve been living alone a long time and I can sympathise but Im not your maid,Leela
4884,OK OK Ill do the dishes  Hey whered they go,Leela
4886,He may be some lowlife jerk but I dont trust him I think hes hiding something and Im gonna find out what it is,Fry
4888,Al I did my hair the way you wanted it  Who are these people,Leela
4890,Hey whered you get this couch and that TV set and all this stuff,Leela
4892,Too bad they werent giving away the three things you actually need,Leela
4895,Come on Al cant you let the little guy out,Leela
4897,Why were you sneaking into my peoples forbidden valley,Leela
4898,Cause I think Alcazars hiding something from you Listen Leela you may not like it you may not believe it you may not wanna hear it but Alcazars a jerk Hes bad for you He,Fry
4901,Fry if its obvious to you with your learning disability then of course its obvious to me Hes crude and gross and he treats me like a slave,Leela
4902,Then dump his oneeyed ass,Fry
4903,I cant If I leave Alcazar thats the end of the Cyclops race And I wont let that happen Even if it means a lifetime of unhappiness,Leela
4905,Ill break up with him at dinner,Leela
4909,Cmon Leela you deserve better than this guy Dump him already,Fry
4921,Psst Leela Youve gotta get me out of here Its horrible Eating scraps letting my waste drop wherever it falls like an animal in the zoo,Fry
4922,Animals go in the corner,Leela
4923,The corner Why didnt I think of that,Fry
4924,Look Fry Id like to help you but its my wedding and Im kind of busy  Here Try to be happy for me That way at least one of us will be,Leela
4925,Thats it Its time for this bird to walk,Fry
4926,Bender come on Weve gotta get some dirt on Alcazar Lets go and find out what makes the Forbidden Valley so forbidden,Fry
4928,But theres probably some cool forbidden stuff you can steal,Fry
4933,Come on boy jump  Good boy,Fry
4935,My God Four identical castles,Fry
4937,Thats weird Its another Cyclops only this one has five eyes,Fry
4948,Hey Alcazar you left somebody off the guest list,Fry
4951,Oh yeah Then what about this,Fry
4957,And maybe youd like to meet her  And her,Fry
4959,A little Thats why Ive decided to hurt you until you explain it,Leela
4965,But why did you have all five weddings on the same day,Leela
4967,Alright Alcazar I just have one last question for you,Leela
4969,If you can change form why didnt you change it in the one place that counts,Leela
4970,Thanks for saving me from that creep Fry,Leela
4972,I guess I was so desperate to find out who I really was I forgot who I really was,Leela
4974,Yeah I mean how many planets can there be,Leela
4976,Whatever you did Professor Im sure theres a reasonable explanation,Leela
4985,No Professor Its a surprise party for your 150th birthday,Leela
4993,And before long he blossomed into a greasy teenager,Leela
4995,And even as he nears his 150th birthday the Professor retains the fiery passion of youth,Leela
5003,No it isnt You have another 10 years left,Leela
5004,Leela He could live another 100 years,Fry
5005,No he couldnt When you turn 160 robots from the Sunset Squad take you to a mysterious planet and you never return,Leela
5006,Wow a whole planet of old people Where is it,Fry
5014,Man the Professors been in his lab for days,Fry
5020,Look the Professor trusts me with a giant spaceship He wouldnt trust the rest of you with his dentures,Leela
5022,Sorry everyone but need I remind you Blood is thicker than water,Fry
5035,Crud Can I at least be in charge of your dentures,Fry
5037,Where did Cubert come from,Fry
5039,Wait If hes your clone why doesnt his nose look like yours,Leela
5104,Weve gotta get him back,Fry
5106,Nothing is impossible Youd know that if you really took after the Professor like I do,Fry
5110,Quiet I think I know how to find the Professor,Leela
5112,If the Smellescope can pick up the Professors odour we may have a chance to save him,Leela
5114,Im zeroing in on him   letters to the editor Its the Professor,Leela
5116,To the left  Uturn Uturn,Fry
5119,There it is The NearDeath Star,Leela
5120,OK well tell them the Professor escaped and were bringing him back Fry youll have to dress up like a 160yearold man,Leela
5123,Now they may ask for a DNA sample,Leela
5124,Id like to see them find it,Fry
5128,Cause youre too ugly to be a wart,Fry
5129,Your Medicare dollars at work,Leela
5131,Uh this is Professor Hubert Farnsworth He escaped,Leela
5142,Uh  IIve got talking hump syndrome,Fry
5148,So this is where they stick old people Its horrific,Fry
5149,At least it keeps them from driving,Leela
5150,Brace yourself for the worst,Leela
5153,Hes hooked up to a lifesupport system  We have to disconnect him very very carefully or the shock could kill him,Leela
5161,Were probably gonna make it but we might not,Leela
5165,Come on Leela Step your big boot down on the gas pedal,Fry
5166,Theyve blown out one of our engines,Leela
5167,Fix it Fix it Fix it Fix it Fix it Fix it Fix it Fix it Fix it,Fry
5168,Only the Professor knows how to fix it We have to wake him up,Leela
5171,Damnit well have to fix the engine ourself,Fry
5172,We cant you bastard No one knows how it works Its impossible,Leela
5181,So what were they doing to you in that awful drawer,Fry
5185,Its a hundred times more horrible than anything I could imagine,Leela
5192,Im having a poker game tonight with some friends from my old cryogenics job You guys interested,Leela
5197,Were playing poker But Im warning you my friends are serious players,Leela
5199,Wow You look happy Is someone fired,Fry
5201,Hermes wait Were having a poker party Stay and whip off a batch of your famous jerk dip,Leela
5203,Jamaican I thought you were some kinda outerspace potato man,Fry
5204,Ah that must be my old boss,Leela
5210,But you never wore your ring I didnt know you had a wife,Leela
5213,Whats with the specs Bender,Fry
5218,It doesnt matter how many human females you have Benders on a hot streak,Fry
5236,Aw hey cmon dont worry Well watch you clean up,Fry
5243,Jeez Hermes you seem awfully calm about this,Fry
5249,Dont do it Hermes You have so much to live for,Leela
5265,Fry got his head stuck in a crater,Leela
5271,What is this high school,Leela
5278,Uh I can explain that See it used to be milk and well time makes fools of us all,Fry
5280,Uh wait this is the other Frys locker Im Phry with a PH,Fry
5282,What the hells going on I thought you were antidirty not prodirty,Fry
5286,Just like very other girl Ive dated,Fry
5303,Bender what happened to you,Leela
5310,Uh wait Benders my roommate He could be back any second,Fry
5314,Morgan come back Hes stuck in a loop,Fry
5321,Hey what did you do to him,Fry
5324,But but  Bender need brain  for  smart making  What did you do now Stop doing things,Fry
5326,No he was a bad friend I want him back right now,Fry
5328,Im sick of you and your bureaucracy,Fry
5330,You and Morgan were having an affair,Leela
5331,I couldnt help it She loved me because of the part of me thats a slob and I loved her because of the part of me thats desperate,Fry
5333,Poor Bender Without his brain hes become all quiet and helpful Weve got to go to the Central Bureaucracy and get that disk back,Fry
5337,Well those arguments aside were still going,Leela
5339,Then well need a guide Someone whos been there before,Leela
5347,Man how long is this gonna take,Fry
5351,Come on I have a better idea,Leela
5352,Excuse me Were from the Planet Express delivery company Were here to deliver a robot,Leela
5356,While youre crashing could you tell us where all these canisters end up,Leela
5366,Were getting nowhere slowly Here Ill address this to the Central Filing room  Then well track it using my wrist LoJackamater,Leela
5369,This is it Well just run in grab Benders disk and run out Got it,Leela
5370,Well never find that disk will we Bender,Fry
5372,Youre right Nothing is over as long as theres one thin ray of hope,Fry
5374,Listen Morgan were through Youre an evil heartless woman and I never wanna see you again However would you help us get Bender back for old times sake,Fry
5380,But how did you know we were here,Leela
5389,Thats only four minutes from now,Leela
5398,They said I probably shouldnt fly with just one eye,Leela
5414,Thats right she fraternised me,Fry
5421,What about me Can I come back at severelyreduced pay,Fry
5426,Hermes thats sweet I didnt know you cared about Nibbler,Leela
5432,The sun the sea air good friends,Leela
5439,This contest is as good as over I once caught a fish this big,Fry
5441,Im afraid youre both out of your league boys cause youre looking at a woman who owns her own harpoon,Leela
5448,Quiet Bender youre scaring away the fish,Fry
5450,I can hit a fish between the eyes from 20 yards,Fry
5452,A shrimp  I find it a bit hard to believe that,Fry
5453,Aha  Gather round chumps I got the winner,Leela
5456,Hey a fish this fine belongs in a fish nuggetstyle chunklet And anyway its bigger than anything youve caught  Ow My small intestine,Fry
5457,Bingo Whatever it is its 20 times heavier than a boot,Leela
5461,Hey Bender I just caught a fish this big,Fry
5467,Wake up everyone Ive got something And this time its alive  Dr Zoidberg since when do you even wear boots,Leela
5473,Come on Bender Pull in your line and lets go,Leela
5480,Its pulling us under Everyone into the ship,Leela
5483,Depth at 45 hundred feet 48 hundred 50 hundred 5000 feet,Leela
5485,How many atmospheres can this ship withstand,Fry
5488,Well be crushed if we dont equalise the pressure,Leela
5492,Wait Ill be back in a minute,Fry
5496,There Good as new Except were three miles below the surface we dont have any food and the ship wont work underwater,Leela
5499,OK everyone calm down The Professor and I will get to work on the ship Bender Zoidberg since you can survive underwater youll go out and look for food,Leela
5500,Id better go too They dont know what I like,Fry
5513,I think I saw a mermaid,Fry
5516,Fry swallow your food Then talk,Leela
5519,No I did see a mermaid She was wearing a tube top and she had a beautiful scaly tail And I think she had hair extensions,Fry
5524,Whats so farfetched about mermaids I mean theres all sorts of weird sea creatures here in the future Like Dr Zoidberg,Fry
5525,Im afraid Fry is suffering from ocean madness,Leela
5526,Every time something good happens to me you say its some kind of madness or Im drunk or I ate too much candy Well I saw a real mermaid and I wish for once my friends would have decency and kindness to believe me,Fry
5531,Hey I can breath and talk just like a fish,Fry
5535,Im Fry So uh am I gonna drown,Fry
5539,I cant believe youre really real I like your tail,Fry
5541,Oh thanks Theyre called pants,Fry
5545,Sure Sometimes it falls from the sky,Fry
5547,And sometimes it doesnt,Fry
5549,You know what I like best about you Umbriel You find me fascinating even when Im not claiming to be a jewel thief or a lion tamer,Fry
5551,Yup We call them landsealions  I tame them,Fry
5557,Its ocean madness alright Sailors call it aqua dementia the deepdown crazies the wet willies the screaming moist,Leela
5571,Hey you guys the most amazing thing happened Its twoforone Tuesday at Krispy Kreme Plus theres mermaids,Fry
5574,I think it was just an airport They had a place where you could buy nuts,Fry
5576,Thats right honey Whatever you say,Fry
5578,But tell us how could a city with such a  fabulous airport end up underwater,Leela
5591,Wait Im not going with you,Fry
5592,But Fry what about us What about your life on the surface You dont belong down here,Leela
5595,Realise it I dont even understand it,Fry
5597,I dont care Im staying Ive got everything I want right here,Fry
5600,Sorry Zoidberg Im trying to join the country club,Fry
5612,You know Umbriel these last 24 hours have been the happiest days of my life,Fry
5614,Mercy I do believe Im gettin the vapours,Fry
5616,Yeah Im a little confused too How do I  yknow  with the tail and all,Fry
5618,Why couldnt she be the other type of mermaid with the fish part on top and the lady part on the bottom,Fry
5623,Wait Wait for me Dont leave me here,Fry
5628,Fry are you alright What happened,Leela
5630,Well it turns out I loved her but I wasnt in love with her,Fry
5634,Ow Bender youre hurting me Ow,Fry
5646,Bender please try to be a little quieter,Leela
5669,A week What do you think Dr Zoidberg,Leela
5673,Im not deaf I just have to wear this stupid eye patch Does it look stupid,Leela
5674,No In fact it looks so nice I think I might get one too,Fry
5687,No thanks Thats robot food,Fry
5691,Oh yeah this salads fantastic  So fresh,Leela
5702,Youre charging us After you blinded me,Leela
5711,No No I was just picking my nose,Fry
5733,Im here and Im getting along just fine thank you My walk to work today just took a little longer than usual Nibbler took me through the zoo for some reason,Leela
5735,I dont need help For your information I did this all by myself,Leela
5809,But were about to take off We gotta eat our blastoff sundaes,Fry
5812,OK you stay in bed Ill eat yours,Fry
5813,Benders sick  Need any help taking off,Fry
5814,Im fine thank you A real pilot can navigate by feel alone,Leela
5824,Wow Its too bad you cant see Leela cause theres a cool ship out there shooting at somebody,Fry
5825,Im taking evasive action,Leela
5827,Stop bothering me Fry I need full concentration,Leela
5832,Wait Why do the raised letters that normally say Turn Master Steering Wheel Company say Nibbler Oh no,Leela
5833,Im back at the wheel Fry Everythings under control,Leela
5834,Great great The one time I forgot to buy flight insurance,Fry
5837,The engines stalled Im trying the manual fuel pump,Leela
5839,Youll never get away with this,Leela
5840,Unless you let us live Then youll get off scot free,Fry
5843,Ill assume thats a joke at my expense Well whos laughing now Hiyah,Leela
5848,That guy sounds familiar,Leela
5864,Leela we may not have much time left    so lets spend all of it reminiscing about Bender He was like a big computer that ran on magic,Fry
5869,Ive got an idea Hold still  Its about to break Yes Yes,Leela
5872,Im telling you Leela was cool she was in command and when she kicked people it hurt It really hurt,Fry
5873,Well this is the big moment Its finally time to take my eye patch off,Leela
5875,I think its Blotto that gangster I saw when my patch fell off  Professor Where were you at 10pm last night,Leela
5880,Its funny Bender with you sick and Leela blind only I know what really went on out there Maybe someday Ill tell you the whole story,Fry
5888,Very nice Whered you steal them,Leela
5893,So how are you gonna lug all those gifts to Moms factory,Leela
5896,Man theres clouds of exhaust everywhere,Fry
5910,Im sorry II thought you were made of wax,Fry
5912,I mean I thought you were one of the wax robots,Fry
5916,Hey Bender heres an exhibit about Moms favourite robot,Fry
5934,Well see you back at the office And dont forget to tell your Mom you love her,Leela
5951,Yeah uh Id like a cup of coffee please,Fry
5959,Uh Leela I think there might be something wrong with the coffee machine,Fry
5961,The toasters not working right either,Leela
5970,Violent media What a load of,Fry
5979,Bender thank God youre here Talk some sense into the other machines,Leela
5989,Well we can live without machines I was in Webelos,Fry
5992,In my time we didnt depend on hightech gadgets like you do We didnt need a mechanical washing unit to wash our clothes We just used a washing machine  Im hungry,Fry
6013,WWWait You mean  you  and Mom,Fry
6025,Hey the TVs getting away,Fry
6028,Wait Didnt you say Mom keeps the robot control in her bra,Leela
6030,Professor you dont have to get back together with Mom You just have to seduce her get her bra off and use the remote to deactivate the robots,Leela
6034,Professor please The fate of the world depends on you getting to second base with Mom,Fry
6043,Wait In my time we had a way of moving things long distances without hovering,Fry
6045,It was called  let me think It was really famous  Ruth Gordon had one The wheel,Fry
6051,Wouldnt it work better if the wheels were round,Leela
6052,Its my invention we do it my way Now all we need is something to pull it and were set,Fry
6058,And if that doesnt work I got you a sixpack of champagne and a funnel,Fry
6085,Im worried It shouldnt take this long to get to second base,Leela
6089,Nothing in here but a couple of elephant skin rugs,Fry
6095,Is anything not a robot,Fry
6105,Hurry Bender Get the bra,Fry
6115,Too bad it didnt work out with Mom Professor,Leela
6121,I hate the Planet of the Moochers They take you out for a drink but when the check comes their wallets always in their other pants  which they borrowed from me,Fry
6125,Ugh Great Were two days from Earth with no food,Leela
6127,Maybe that planet over there has a drivethru A Burger Jerk or a Fishy Joes or a Chizzler or something,Fry
6129,Yeah Its probably only got a Howard Johnsons,Leela
6130,Well its a typeM planet so it should at least have Roddenberries,Leela
6131,Im experienced at foraging I used to find edible mushrooms on my bath mat,Fry
6135,Heres something It looks like a ditch full of fried shrimp,Fry
6137,Hm This thing I wear on my wrist says theyre not poisonous,Leela
6138,Well How are they  Oh theyre great Theyre like sex except Im having them,Fry
6142,Lets bring back a couple of pocketfuls,Fry
6144,No Only what we need Stuff the ship,Leela
6149,We havent thought of a name yet,Leela
6155,It sounds too much like those frozen rocky mountain oysters on a stick You know Testcicles,Leela
6157,I know well call them Popplers,Fry
6176,Wow Youre some guy who eats at Fishy Joes,Fry
6184,"and   Pop a Poppler in your mouth
When you come to Fishy Joes
What theyre made of is a mystery
Where they come from no one knows
You can pick em
You can lick em
You can chew em
You can stick em
If you promise not to sue us
You can shove one up your nose",Fry
6187,Leela Thats the second billboard youve crashed into this week,Fry
6188,Sorry I was distracted by those protesters outside our building,Leela
6194,What do you people want,Leela
6198,Youre vegetarians who cares what you do,Leela
6200,Animals eat other animals Its nature,Leela
6203,Ill go get some more bricks,Leela
6204,Fry I wish youd throw out these weekold Popplers Theyre getting big and scaly Ooh theres one left,Leela
6206,Stop Stop eating Popplers,Leela
6209,Popplers are intelligent This one called me mama,Leela
6217,Im telling you it spoke to me Come on little Poppler say mama,Leela
6218,Look Leela even if you heard one talk that doesnt mean its intelligent I mean parrots talk and we eat them right,Fry
6226,Stop eating Popplers They can talk,Leela
6230,People I wont let you enter Popplers are as intelligent as you or me,Fry
6251,Thats not true I have one right here that can talk,Leela
6256,Look Im not saying eating meat is wrong,Leela
6258,I dont think anyones here to make that claim,Leela
6260,But eating an intelligent animal is different,Leela
6296,I wish theyd just wipe out humanity and get it over with Its the waiting I cant stand,Fry
6308,What Bender means is youre really brave and smart and beautiful and a great friend,Fry
6310,This is all a big load I was the one trying to save the Popplers  You both should be in here instead of me,Leela
6313,Oh great Captain Moron has a plan Why dont you tell it to Wingus and Dingus here,Leela
6317,It doesnt look anything like me The hair is all wrong,Leela
6319,You know this might actually work The Omicronians seem to have trouble telling one person from another,Leela
6351,Please I just paid off my car,Leela
6367,Thank you Jrrr  I hope youll always think of me as your mom,Leela
6377,Aww thanks guys Pass the veal please,Leela
6379,Mmm let me get some of that suckling pig,Fry
6381,Dolphin But dolphins are intelligent,Leela
6397,Yeah its really long But what did you just turn on with it,Fry
6404,Im so lonely since I came to the future  Who are you,Fry
6406,You too Will you be my friend,Fry
6409,Stop The robots not your enemy Hes just a poor misunderstood,Fry
6427,Wanna make Shrinky Dinks,Fry
6429,Are you people satisfied This gentle visitor is dying And well never even know why he came,Fry
6434,Maybe later II mean I dont know what to ask about,Leela
6436,Yeah be more impulsive Like this,Fry
6438,I can be really impulsive It just takes me a while  Not too much,Leela
6439,Hey you guys look what I bought on a wild impulse,Leela
6446,Oh God What have I done,Leela
6448,OK just try to be nonchalant,Leela
6455,That doesnt prove I killed him,Leela
6464,Im sorry I couldnt stop WWait Dont you care that I murdered Hermes,Leela
6468,OK thats it No more killing Next time you feel like killing just have a stick of gum  Now to dispose of the body,Leela
6475,Ive never seen you before,Leela
6478,Uh couldnt be me I never wear boots  See,Leela
6479,Ew What smells like boot feet,Fry
6484,Im bored Youre boring Zoidberg Im gonna go watch TV,Fry
6485,Could you get the lights on your way out,Leela
6488,Sure  Yknow I think I finally figured out whats behind all these mysterious deaths,Fry
6490,Was Planet Express built on an Indian graveyard,Fry
6495,I dont know what came over me I killed one person on impulse Then I had to kill another And another,Leela
6496,Well that covers the first three killings,Fry
6497,And now to make sure you wont talk Im gonna have to do something really impulsive,Leela
6498,So Fry what do you think of the impulsive new me,Leela
6500,Good Now let me just get the lights,Leela
6503,Um I have a question What if Bender was really giant,Fry
6504,You idiot We already saw that,Leela
6505,I know I liked it I wanna see it again,Fry
6507,Oh alright How bout this What if I never fell into that freezerdoodle and came to the futurejiggy,Fry
6509,Hello Pizza delivery for  Icy Wiener Aw crud  I should have left you floating in the toilet,Fry
6513,Who are you monsters Is one of you Icy Wiener,Fry
6515,You believe me about the monsters right Mr Panucci,Fry
6519,Hey Stephen Hawking Arent you that physicist that invented gravity,Fry
6521,Let me ask you something,Fry
6529,I thought your duty was to cast the tiebreaking vote in the Senate,Fry
6531,Hmm So I guess youll wanna see my Fry Hole,Fry
6542,So what do you nerds want,Fry
6550,So then my chair tilted back and I almost fell into this freezer thingy,Fry
6552,But instead of falling in and getting frozen I missed and wanged my head,Fry
6567,Alright But I need a weapon to fight off drunken robots when I wake up,Fry
6571,Eh whats the worst thing that can happen,Fry
6573,Destroyed Then where are we now,Fry
6586,Hm Spider Hubble Nitrogum  ooh Big Pink Its the only gum with the breathfreshening power of ham,Fry
6589,I believe youre forgetting about our 5 military discount,Fry
6594,Full price for gum That dog wont hunt monsignor,Fry
6597,Just out of curiosity we could use the cards to buy gum then immediately quit the army right,Fry
6604,I wanna enlist My friends always die if Im not there to save them,Leela
6608,You know Zapp someone ought to teach you a lesson,Leela
6613,And this ham gum is all bones,Fry
6620,Uh just so well know whos the enemy,Fry
6624,Whoa Check out that guy He makes Speedy Gonzales look like Regular Gonzales,Fry
6627,Uh sorry sir I was still in attack mode You know how testosterone is,Leela
6629,La  man La Man  Lemon Lee Lemon sir,Leela
6639,Mind if we sit with you,Fry
6640,Uh hey why the hell would I Were all guys here Sweaty hairy gassy guys,Leela
6644,Well I sort of a have a thing for this girl I work with,Fry
6645,Really  What type is she You know blonde or Chinese or Cyclops,Leela
6649,Stop Stop flattering me,Leela
6651,Sir the alarm I think Id better,Leela
6657,And then the battles not so bad,Fry
6686,That doesnt sound too bad,Fry
6715,Im walking on sunshine whoaoh,Fry
6717,Maybe you should put on a towel sir,Leela
6733,Uh Commander Could you tell me when the bomb is exploding,Leela
6741,OK I gotta break down that gate beat up those three guards steal that chopper and rescue Bender,Fry
6743,Hey I did it Wait thats not me,Fry
6744,Come on We gotta save Bender,Leela
6745,You wanna save him too Lemon You barely know him,Fry
6746,Fry dont you recognise me,Leela
6753,Lets do it again sometime,Leela
6758,Were here I followed the bouncing balls  Ill keep the chopper at a safe altitude while you parachute down,Leela
6759,OK my best friends life is at stake I can finally prove that Im not a coward  Will you push me,Fry
6761,At last war has made me into a man,Fry
6765,Stop You cant say the next word,Fry
6767,Bender if you say the Aword youll blow this planet straight to the Hword,Fry
6773,Alright Hey wait a minute This is your home planet Were the evil invading aliens,Fry
6783,We couldnt disarm the bomb so we reset the word that triggers it,Leela
6790,Bender stop trying to destroy the world,Leela
6800,You buy one pound of underwear and youre on their list forever,Leela
6804,Oh Im sorry Bender Whens the funeral,Fry
6840,Bender wake up  Hes OK Quick does anyone have any liquor,Fry
6843,Poor Bender youre seeing things Youve been drinking too much or too little I forget how it works with you Anyway you havent drunk exactly the right amount,Fry
6845,I think Bender may be telling the truth,Leela
6849,Look at this They found those same rubbery tracks right here in New New York  There was a hitandrun by the robot porno theatre,Leela
6864,Aw relax buddy You were probably just shooting some big fuzzy craps,Fry
6866,Jeez Bender youre scaring me Youre going wacko,Fry
6887,I wouldnt wanna be me right now,Fry
6889,There No rampaging for you tonight,Leela
6891,Just relax Bender Tomorrow well pry you down have a nice breakfast and then go hunt down and slaughter that ancient evil,Leela
6892,Itll be a rich full day,Fry
6893,Well goodnight Im gonna go make my dinners for the next month and freeze them,Leela
6896,You jerk I thought I was your best friend What kind of twotiming killmobile are you,Fry
6897,I cant believe this Bender is supposed to murder his closest friend which I thought was me But he went straight for you He didnt even try to seconddegree murder me,Fry
6898,Could you give me some help I think Bender crushed my foot,Leela
6901,Not physically But why dont you ask your new best friend Leela,Fry
6903,It was very sweet of you Bender,Leela
6905,Words Nothing but sweet sweet words that turn into bitter orange wax in my ears,Fry
6906,Enough with the feelings you two If were gonna cure Bender weve got to go back to the castle and hunt down the original werecar,Leela
6912,Now its daylight so he should be in robot form But be careful,Leela
6915,We are not ignorant villagers were sophisticated New New Yorkers Whup his butt,Leela
6923,I once had a best friend who liked to smell things with me,Fry
6931,Look are you the original werecar or not,Fry
6936,Knight Rider wasnt evil,Fry
6939,So what happened to Project Satan,Leela
6942,You guys distract the werecar and Ill kill it by plugging its exhaust pipe with this silver potato,Leela
6944,It looks so unhappy Excuse me Are you Project Satan  Dont be afraid We know what you are,Leela
6946,Would you like us to  put you out of your misery,Leela
6952,Hey Project Satan Over here Im a blind pedestrian 20 points,Fry
6953,Oh no Theres no exhaust pipe,Leela
6959,Bender youre cured But what happened to Fry,Leela
6961,Bender Im alive  Heres to you,Fry
6963,Ill kill you too buddy Ill kill you too,Fry
6964,Giant Space Robot this is Captain Fry of the USS Planet Express Ship We come in peace,Fry
6966,Well we destroyed the toy spaceship Now what are we gonna do,Fry
6971,I mustve left them onboard,Leela
6973,Relax The ships not going anywhere I anchored it with the unbreakable diamond tether,Leela
6980,Thats the best thing I ever saw,Fry
6999,What are we supposed to do for money   and this picture of me and my old girlfriend Michelle and that ski instructor she was just friends with,Fry
7001,We dont need to beg Bender For Gods sake were not veterans,Leela
7002,Well what do you suggest A daring daylight robbery of Fort Knox on elephantback Thats the dumbest thing I ever heard,Fry
7005,Fortunately I still have our old career chips,Leela
7007,Career chips  Its how we met,Leela
7012,Id like to reapply for my old job,Leela
7014,Monday Monkey lives for the weekend sir,Leela
7016,Delivery boy I must have mixed up the chips Its a simple mi,Leela
7023,Hey I was frozen I think I know what people wanna hear when they first wake up  Bathrooms that way,Fry
7024,So while youre on the Probulator tell me what brings you to the future,Fry
7026,Nope Straight line  Ah the Probulators done,Fry
7028,Oh wait it hasnt started yet  OK its about to start,Fry
7034,Nothing like a power nap,Fry
7038,Pizza delivery for  Icy Wiener  Yeah very funny Now cough up the 1295,Leela
7039,Sorry but if its not here in half an hour its free,Fry
7040,Its only been 23 minutes,Leela
7041,Well uh Ive got 33 minutes,Fry
7043,OK Ill fight the box I think I can take him,Fry
7044,Fry just pay me I still owe 30 bucks on this uniform,Leela
7047,No  Oh my God Its Pauly Shore,Fry
7049,Mr Shore I loved you in BioDome You sure caused some trouble in that bubble,Fry
7051,Hey now that youre in the future you can go live in an actual biodome,Fry
7053,Oh  So how did you wind up getting frozen,Fry
7057,I woke you up early so we could hang out and do stuff,Fry
